DOI,venue,year,title,subtitle,abstract,authors,keywords,page_from,page_to
10.1145/2702123.2702591,CHI,2015,Tongue-in-Cheek,Using Wireless Signals to Enable Non-Intrusive and Flexible Facial Gestures Detection,"Serious brain injuries, spinal injuries, and motor neuron diseases often lead to severe paralysis. Individuals with such disabilities can benefit from interaction techniques that enable them to interact with the devices and thereby the world around them. While a number of systems have proposed tongue-based gesture detection systems, most of these systems require intrusive instrumentation of the user's body (e.g., tongue piercing, dental retainers, multiple electrodes on chin). In this paper, we propose a wireless, non-intrusive and non-contact facial gesture detection system using X-band Doppler. The system can accurately differentiate between 8 different facial gestures through non-contact sensing, with an average accuracy of 94.3%.","Mayank Goel, Chen Zhao, Ruth Vinisha, Shwetak Patel","accessibility, tongue gestures, tongue-computer interface, wireless signals",255,258
10.1145/3173574.3173867,CHI,2018,SpeechBubbles,Enhancing Captioning Experiences for Deaf and Hard-of-Hearing People in Group Conversations,"Deaf and hard-of-hearing (DHH) individuals encounter difficulties when engaged in group conversations with hearing individuals, due to factors such as simultaneous utterances from multiple speakers and speakers whom may be potentially out of view. We interviewed and co-designed with eight DHH participants to address the following challenges: 1) associating utterances with speakers, 2) ordering utterances from different speakers, 3) displaying optimal content length, and 4) visualizing utterances from out-of-view speakers. We evaluated multiple designs for each of the four challenges through a user study with twelve DHH participants. Our study results showed that participants significantly preferred speechbubble visualizations over traditional captions. These design preferences guided our development of SpeechBubbles, a real-time speech recognition interface prototype on an augmented reality head-mounted display. From our evaluations, we further demonstrated that DHH participants preferred our prototype over traditional captions for group conversations.","Yi-Hao Peng, Ming-Wei Hsi, Paul Taele, Ting-Yu Lin, Po-En Lai, Leon Hsu, Tzu-chuan Chen, Te-Yen Wu, Yu-An Chen, Hsien-Hui Tang, Mike Chen","accessibility, augmented reality, closed captions, deaf and hard of hearing, hololens, text bubbles, word balloons",1,10
10.1145/3290605.3300262,CHI,2019,Design Goals for Playful Technology to Support Physical Activity Among Wheelchair Users, ,"Playful technology has the potential to support physical activity (PA) among wheelchair users, but little is known about design considerations for this audience, who experience significant access barriers. In this paper, we lever-age the Integrated Behavioural Model (IBM) to understand wheelchair users' perspectives on PA, technology, and play.First, we present findings from an interview study with eight physically active wheelchair users. Second, we build on the interviews in a survey that received 44 responses from a broader group of wheelchair users. Results show that the anticipation of positive experiences was the strongest predictor of engagement with PA, and that accessibility concerns act as barriers both in terms of PA participation and technology use. We present four design goals - emphasizing enjoyment,involving others, building knowledge and enabling flexibility - to make our findings actionable for researchers and designers wishing to create accessible playful technology to support PA.","Liam Mason, Kathrin Gerling, Patrick Dickinson, Antonella De Angeli","accessibility, games, integrated behavioral model, wheelchair",1,12
10.1145/3025453.3025888,CHI,2017,ForgetMeNot,Active Reminder Entry Support for Adults with Acquired Brain Injury,"Smartphone reminding apps can compensate for memory impairment after acquired brain injury (ABI). In the absence of a caregiver, users must enter reminders themselves if the apps are going to help them. Poor memory and apathy associated with ABI can result in failure to initiate such configuration behaviour and the benefits of reminder apps are lost. ForgetMeNot takes a novel approach to address this problem by periodically encouraging the user to enter reminders with unsolicited prompts (UPs). An in situ case study investigated the experience of using a reminding app for people with ABI and tested UPs as a potential solution to initiating reminder entry. Three people with severe ABI living in a post-acute rehabilitation hospital used the app in their everyday lives for four weeks to collect real usage data. Field observations illustrated how difficulties with motivation, insight into memory difficulties and anxiety impact reminder app use in a rehabilitation setting. Results showed that when 6 UPs were presented throughout the day, reminder-setting increased, showing UPs are an important addition to reminder applications for people with ABI. This study demonstrates that barriers to technology use can be resolved in practice when software is developed with an understanding of the issues experienced by the user group.","Matthew Jamieson, Brian O'Neill, Breda Cullen, Marilyn Lennon, Stephen Brewster, Jonathan Evans","acquired brain injury, assistive technology, field study, in situ study, memory rehabilitation, smartphone reminding",6012,6023
10.1145/3173574.3174062,CHI,2018,Exploring Accessible Smartwatch Interactions for People with Upper Body Motor Impairments, ,"Smartwatches are always-available, provide quick access to information in a mobile setting, and can collect continuous health and fitness data. However, the small interaction space of these wearables may pose challenges for people with upper body motor impairments. To investigate accessible smartwatch interactions for this user group, we conducted two studies. First, we assessed the accessibility of existing smartwatch gestures with 10 participants with motor impairments. We found that not all participants were able to complete button, swipe and tap interactions. In a second study, we adopted a participatory approach to explore smartwatch gesture preferences and to gain insight into alternative, more accessible smartwatch interaction techniques. Eleven participants with motor impairments created gestures for 16 common smartwatch actions on both touchscreen and non-touchscreen (bezel, wristband) areas of the watch and the user's body. We present results from both studies and provide design recommendations.","Meethu Malu, Pramod Chundury, Leah Findlater","accessibility, elicitation study, interactions, motor impairments, smartwatches, wearables",1,12
10.1145/2858036.2858567,CHI,2016,Universal Design Ballot Interfaces on Voting Performance and Satisfaction of Voters with and without Vision Loss, ,"Voting is a glocalized event across countries, states and municipalities in which individuals of all abilities want to participate. To enable people with disabilities to participate accessible voting is typically implemented by adding assistive technologies to electronic voting machines to accommodate people with disabilities. To overcome the complexities and inequities in this practice, two interfaces, EZ Ballot, which uses a linear yes/no input system for all selections, and QUICK Ballot, which provides random access voting through direct selection, were designed to provide one system for all voters. This paper reports efficacy testing of both interfaces. The study demonstrated that voters with a range of visual abilities were able to use both ballots independently. While non-sighted voters made fewer errors on the linear ballot (EZ Ballot), partially-sighted and sighted voters completed the random access ballot (QUICK Ballot) in less time. In addition, a higher percentage of non-sighted participants preferred the linear ballot, and a higher percentage of sighted participants preferred the random ballot.","Seunghyun ""Tina"" Lee, Yilin Liu, Ljilja Ruzic, Jon Sanford","effectiveness, efficiency, subjective usability, universal design, voting",4861,4871
10.1145/3025453.3025814,CHI,2017,Understanding Blind People's Experiences with Computer-Generated Captions of Social Media Images, ,"Research advancements allow computational systems to automatically caption social media images. Often, these captions are evaluated with sighted humans using the image as a reference. Here, we explore how blind and visually impaired people experience these captions in two studies about social media images. Using a contextual inquiry approach (n=6 blind/visually impaired), we found that blind people place a lot of trust in automatically generated captions, filling in details to resolve differences between an image's context and an incongruent caption. We built on this in-person study with a second, larger online experiment (n=100 blind/visually impaired) to investigate the role of phrasing in encouraging trust or skepticism in captions. We found that captions emphasizing the probability of error, rather than correctness, encouraged people to attribute incongruence to an incorrect caption, rather than missing details. Where existing research has focused on encouraging trust in intelligent systems, we conclude by challenging this assumption and consider the benefits of encouraging appropriate skepticism.","Haley MacLeod, Cynthia Bennett, Meredith Morris, Edward Cutrell","accessibility, alt text, automatic image captioning, blindness, social media, twitter",5988,5999
10.1145/3290605.3300762,CHI,2019,Personalising the TV Experience using Augmented Reality,An Exploratory Study on Delivering Synchronised Sign Language Interpretation,"Augmented Reality (AR) technology has the potential to extend the screen area beyond the rigid frames of televisions. The additional display area can be used to augment televisions (TVs) with extra information tailored to individuals, for instance, the provision of access services like sign language interpretations. We invited 23 (11 in the UK, 12 in Germany) users of signed content to evaluate three methods of watching a sign language interpreted programme - one traditional in-vision method with signed programme content on TV and two AR-enabled methods in which an AR sign language interpreter (a 'half-body' version and a 'full-body' version) is projected just outside the frame of the TV presenting the programme. In the UK, participants were split 3-ways in their preferences while in Germany, half the participants preferred the traditional method followed closely by the 'half-body' version. We discuss our participants reasoning behind their preferences and implications for future research.","Vinoba Vinayagamoorthy, Maxine Glancy, Christoph Ziegler, Richard Sch&#228;ffer","accessibility, augmented reality, bsl, companion screen, connected experiences, dgs, hbbtv 2.0, hololens, interaction techniques, personalisation, second screen, sign language, sse, synchronisation, television",1,12
10.1145/3025453.3025846,CHI,2017,Interaction Proxies for Runtime Repair and Enhancement of Mobile Application Accessibility, ,"We introduce interaction proxies as a strategy for runtime repair and enhancement of the accessibility of mobile applications. Conceptually, interaction proxies are inserted between an application's original interface and the manifest interface that a person uses to perceive and manipulate the application. This strategy allows third-party developers and researchers to modify an interaction without an application's source code, without rooting the phone, without otherwise modifying an application, while retaining all capabilities of the system (e.g., Android's full implementation of the TalkBack screen reader). This paper introduces interaction proxies, defines a design space of interaction re-mappings, identifies necessary implementation abstractions, presents details of implementing those abstractions in Android, and demonstrates a set of Android implementations of interaction proxies from throughout our design space. We then present a set of interviews with blind and low-vision people interacting with our prototype interaction proxies, using these interviews to explore the seamlessness of interaction, the perceived usefulness and potential of interaction proxies, and visions of how such enhancements could gain broad usage. By allowing third-party developers and researchers to improve an interaction, interaction proxies offer a new approach to personalizing mobile application accessibility and a new approach to catalyzing development, deployment, and evaluation of mobile accessibility enhancements.","Xiaoyi Zhang, Anne Ross, Anat Caspi, James Fogarty, Jacob Wobbrock","accessibility, interaction proxies, runtime modification",6024,6037
10.1145/2556288.2557124,CHI,2014,Interface design for older adults with varying cultural attitudes toward uncertainty, ,"This work reports on the design and evaluation of culturally appropriate technology for older adults. Our design context was Cognitive Testing on a Computer (C-TOC): a self-administered computerized test under development, intended to screen older adults for cognitive impairments. Using theory triangulation of cultural attitudes toward uncertainty, we designed two interfaces (one minimal and one rich) for one C-TOC subtest and hypothesized they would be culturally appropriate for older adult Caucasians and East Asians respectively. We ran an experiment with 36 participants to investigate cultural differences in performance, preference and anxiety. We found that Caucasians preferred the interface with minimal elements (i.e. those essential for the primary task) or had no preference. By contrast, East Asians preferred the rich interface augmented with security and learning support and felt less anxious with it than the minimal.","Shathel Haddad, Joanna McGrenere, Claudia Jacova","computerized cognitive assessment, cultural design, experiment, older adults, uncertainty avoidance",1913,1922
10.1145/2470654.2481292,CHI,2013,Accessible photo album,enhancing the photo sharing experience for people with visual impairment,"While a photograph is a visual artifact, studies reveal that a number of people with visual impairments are also interested in being able to share their memories and experiences with their sighted counterparts in the form of a photograph. We conducted an online survey to better understand the challenges faced by people with visual impairments in sharing and organizing photos, and reviewed existing tools and their limitations. Based on our analysis, we developed an accessible mobile application that enables a visually impaired user to capture photos along with audio recordings for the ambient sound and memo description and to browse through them eyes-free. Five visually impaired participants took part in a study in which they used our app to take photographs in naturalistic settings and to share them later with a sighted viewer. The participants were able to use our app to identify each photograph on their own during the photo sharing session, and reported high satisfaction in having been able to take the initiative during the process.","Susumu Harada, Daisuke Sato, Dustin Adams, Sri Kurniawan, Hironobu Takagi, Chieko Asakawa","audiophotography, blind, photo sharing, visual impairment",2127,2136
10.1145/2207676.2208385,CHI,2012,The SoundsRight CAPTCHA,an improved approach to audio human interaction proofs for blind users,"In this paper we describe the development of a new audio CAPTCHA called the SoundsRight CAPTCHA, and the evaluation of the CAPTCHA with 20 blind users. Blind users cannot use visual CAPTCHAs, and it has been documented in the research literature that the existing audio CAPTCHAs have task success rates below 50% for blind users. The SoundsRight audio CAPTCHA presents a real-time audio-based challenge in which the user is asked to identify a specific sound (for example the sound of a bell or a piano) each time it occurs in a series of 10 sounds that are played through the computer's audio system. Evaluation results from three rounds of usability testing document that the task success rate was higher than 90% for blind users. Discussion, limitations, and suggestions for future research are also presented.","Jonathan Lazar, Jinjuan Feng, Tim Brooks, Genna Melamed, Brian Wentz, Jon Holman, Abiodun Olalere, Nnanna Ekedebe","accessibility, audio CAPTCHA, blind users, evaluation, human interaction proof, security, web accessibility",2267,2276
10.1145/3173574.3173920,CHI,2018,&#8220;Bursting the Assistance Bubble&#8221;,Designing Inclusive Technology with Children with Mixed Visual Abilities,"Children living with visual impairments (VIs) are increasingly educated in mainstream rather than special schools. But knowledge about the challenges they face in inclusive schooling environments and how to design technology to overcome them remains scarce. We report findings from a field study involving interviews and observations of educators and children with/without VIs in mainstream schools, in which we identified the ""teaching assistant bubble"" as a potential barrier to group learning, social play and independent mobility. We present co-design activities blending elements of future workshops, multisensory crafting, fictional inquiry and bodystorming, demonstrating that children with and without VIs can jointly lead design processes and explore design spaces reflective of mixed visual abilities and shared experiences. We extend previous research by characterising challenges and opportunities for improving inclusive education of children with VIs in mainstream schools, in terms of balancing assistance and independence, and reflect on the process and outcomes of co-designing with mixed-ability groups in this context.","Oussama Metatla, Clare Cullen","children, co-design, education, inclusion, mixed abilities",1,14
10.1145/3290605.3300605,CHI,2019,Examining Augmented Virtuality Impairment Simulation for Mobile App Accessibility Design, ,"With mobile apps rapidly permeating all aspects of daily living with use by all segments of the population, it is crucial to support the evaluation of app usability for specific impaired users to improve app accessibility. In this work, we examine the effects of using our augmented virtuality impairment simulation system--Empath-D--to support experienced designer-developers to redesign a mockup of commonly used mobile application for cataract-impaired users, comparing this with existing tools that aid designing for accessibility. We show that the use of augmented virtuality for assessing usability supports enhanced usability challenge identification, finding more defects and doing so more accurately than with existing methods. Through our user interviews, we also show that augmented virtuality impairment simulation supports realistic interaction and evaluation to provide a concrete understanding over the usability challenges that impaired users face, and complements the existing guidelines-based approaches meant for general accessibility.","Kenny Choo, Rajesh Balan, Youngki Lee","accessibility, augmented virtuality, empathetic design, mobile app design, virtual reality",1,11
10.1145/2207676.2208652,CHI,2012,Design of an exergaming station for children with cerebral palsy, ,"We report on the design of a novel station supporting the play of exercise video games (exergames) by children with cerebral palsy (CP). The station combines a physical platform allowing children with CP to provide pedaling input into a game, a standard Xbox 360 controller, and algorithms for interpreting the cycling input to improve smoothness and accuracy of gameplay. The station was designed through an iterative and incremental participatory design process involving medical professionals, game designers, computer scientists, kinesiologists, physical therapists, and eight children with CP. It has been tested through observation of its use, through gathering opinions from the children, and through small experimental studies. With our initial design, only three of eight children were capable of playing a cycling-based game; with the final design, seven of eight could cycle effectively, and six reached energy expenditure levels recommended by the American College of Sports Medicine while pedaling unassisted.","Hamilton Hernandez, T.C. Graham, Darcy Fehlings, Lauren Switzer, Zi Ye, Quentin Bellay, Md Ameer Hamza, Cheryl Savery, Tadeusz Stach","accessibility, exergame, exergaming station, exertion interface, video game design",2619,2628
10.1145/3290605.3300861,CHI,2019,Let's Play Together,Adaptation Guidelines of Board Games for Players with Visual Impairment,"Board games present accessibility barriers for players with visual impairment since they often employ visuals alone to communicate gameplay information. Our research focuses on board game accessibility for those with visual impairment. This paper describes a three-phase study conducted to develop board game accessibility adaptation guidelines. These guidelines were developed through a user-centered design approach that included in-depth interviews and a series of user studies using two adapted board games. Our findings indicate that participants with and without visual impairment were able to play the adapted games, exhibiting a balanced experience whereby participants had complete autonomy and were provided with equal chances of victory. Our paper also contributes to the game and accessibility communities through the development of adaptation guidelines that allow board games to become inclusive irrespective of a player's visual impairment.","Frederico da Rocha Tom&#233; Filho, Pejman Mirza-Babaei, Bill Kapralos, Glaudiney Moreira Mendon&#231;a Junior","accessibility, board games, guidelines, visual impairment",1,15
10.1145/3290605.3300341,CHI,2019,SeeingVR,A Set of Tools to Make Virtual Reality More Accessible to People with Low Vision,"Current virtual reality applications do not support people who have low vision, i.e., vision loss that falls short of complete blindness but is not correctable by glasses. We present SeeingVR, a set of 14 tools that enhance a VR application for people with low vision by providing visual and audio augmentations. A user can select, adjust, and combine different tools based on their preferences. Nine of our tools modify an existing VR application post hoc via a plugin without developer effort. The rest require simple inputs from developers using a Unity toolkit we created that allows integrating all 14 of our low vision support tools during development. Our evaluation with 11 participants with low vision showed that SeeingVR enabled users to better enjoy VR and complete tasks more quickly and accurately. Developers also found our Unity toolkit easy and convenient to use.","Yuhang Zhao, Edward Cutrell, Christian Holz, Meredith Morris, Eyal Ofek, Andrew Wilson","accessibility, low vision, unity, virtual reality",1,14
10.1145/2207676.2207736,CHI,2012,Guidelines are only half of the story,accessibility problems encountered by blind users on the web,"This paper describes an empirical study of the problems encountered by 32 blind users on the Web. Task-based user evaluations were undertaken on 16 websites, yielding 1383 instances of user problems. The results showed that only 50.4% of the problems encountered by users were covered by Success Criteria in the Web Content Accessibility Guidelines 2.0 (WCAG 2.0). For user problems that were covered by WCAG 2.0, 16.7% of websites implemented techniques recommended in WCAG 2.0 but the techniques did not solve the problems. These results show that few developers are implementing the current version of WCAG, and even when the guidelines are implemented on websites there is little indication that people with disabilities will encounter fewer problems. The paper closes by discussing the implications of this study for future research and practice. In particular, it discusses the need to move away from a problem-based approach towards a design principle approach for web accessibility.","Christopher Power, Andr&#233; Freire, Helen Petrie, David Swallow","accessibility guidelines, blind users, user evaluation, web accessibility",433,442
10.1145/2702123.2702588,CHI,2015,CoFa&#231;ade,A Customizable Assistive Approach for Elders and Their Helpers,"We present CoFa&#231;ade, a novel approach to helping elders reach their goals with IT products by working collaboratively with helpers. In this approach, the elder uses an interface with a small number of triggers, where each trigger is a single button (or card) that can execute a procedure. The helper uses a customization interface to link triggers to procedures that accomplish frequently-recurring high-level goals with IT products. Customization can be done either locally or remotely. We conducted an experiment to compare the CoFa&#231;ade approach with a baseline approach where helpers taught elders to perform IT tasks. Our results showed that CoFa&#231;ade can reduce helpers' time and effort, reduce elders' frustration, and improve elders' success rate in completing IT tasks.","Jason Chen Zhao, Richard Davis, Pin Sym Foong, Shengdong Zhao","accessibility design, cofa-ade, silver computing",1583,1592
10.1145/2858036.2858157,CHI,2016,Changing Family Practices with Assistive Technology,MOBERO Improves Morning and Bedtime Routines for Children with ADHD,"Families of children with Attention Deficit Hyperactivity Disorder (ADHD) often report morning and bedtime routines to be stressful and frustrating. Through a design process involving domain professionals and families we designed MOBERO, a smartphone-based system that assists families in establishing healthy morning and bedtime routines with the aim to assist the child in becoming independent and lowering the parents' frustration levels. In a two-week intervention with 13 children with ADHD and their families, MOBERO significantly improved children's independence and reduced parents' frustration levels. Additionally, use of MOBERO was associated with a 16.5% reduction in core ADHD symptoms and an 8.3% improvement in the child's sleep habits, both measured by standardized questionnaires. Our study highlights the potential of assistive technologies to change the everyday practices of families of children with ADHD.","Tobias Sonne, J&#246;rg M&#252;ller, Paul Marshall, Carsten Obel, Kaj Gr&#248;nb&#230;k","ADHD, assistive technology, attention deficit hyperactivity disorder, behavior change, children, mental health, mobile, routines, sleep",152,164
10.1145/2702123.2702589,CHI,2015,StructJumper,A Tool to Help Blind Programmers Navigate and Understand the Structure of Code,"It can be difficult for a blind developer to understand and navigate through a large amount of code quickly, as they are unable to skim as easily as their sighted counterparts. To help blind developers overcome this problem, we present StructJumper, an Eclipse plugin that creates a hierarchical tree based on the nesting structure of a Java class. The programmer can use the TreeView to get an overview of the code structure of the class (including all the methods and control flow statements) and can quickly switch between the TreeView and the Text Editor to get an idea of where they are within the nested structure. To evaluate StructJumper, we had seven blind programmers complete three tasks with and without our tool. We found that the users thought they would use StructJumper and there was a trend that they were faster completing the tasks with StructJumper.","Catherine Baker, Lauren Milne, Richard Ladner","accessibility, blind programmers, code structure, navigation, screen reader",3043,3052
10.1145/3173574.3173600,CHI,2018,MirrorMirror,A Mobile Application to Improve Speechreading Acquisition,"Many people around the world have difficulties in day-to-day conversation due to hearing loss. Hearing aids often fail to offer enough benefits and have low adoption rates. However, people with hearing loss find that speechreading can improve their understanding during conversation, but speechreading is a challenging skill to learn. Speechreading classes can improve acquisition, however there are a limited number of classes available and students can only practice effectively when attending class. To address this, we conducted a postal survey with 59 speechreading students to understand students' perspectives on practicing. Using our findings, we developed an Android application called MirrorMirror - a new Speechreading Acquisition Tool (SAT) that allows students to practice their speechreading by recording and watching videos of people they frequently speak with. We evaluated MirrorMirror through three case studies with speechreading students and found that they could effectively target their speechreading practice on people, words and situations they encounter during daily conversations.","Benjamin Gorman, David Flatla","accessibility, hearing loss, lipreading, speechreading",1,12
