Index,Author,Title,Keyword,DOI,Venue,Year,CommunityOfFocus-BVI,CommunityOfFocus-DHH,CommunityOfFocus-IDD,CommunityOfFocus-MotorPhysical,CommunityOfFocus-Autism,CommunityOfFocus-Cognitive,CommunityOfFocus-OlderAdult,CommunityOfFocus-GeneralDisability,CommunityOfFocus-Other,IssueAddressed-IncreaseDigitalAccess,IssueAddressed-IncreasePhysicalAccess,IssueAddressed-IncreaseIndependence,IssueAddressed-IncreaseUnderstandingOfUsers,IssueAddressed-HelpWithPersonalInformaticsBehaviorChange,IssueAddressed-SupportCommunication,IssueAddressed-Other,ContributionType-Empirical,ContributionType-Artifact,ContributionType-Methodological,ContributionType-Theoretical,ContributionType-Dataset,ContributionType-SurveyContribution,StudyMethod-ControlledExperiment,StudyMethod-SurveyMethod,StudyMethod-UsabilityTesting,StudyMethod-Interviews,StudyMethod-CaseStudy,StudyMethod-FocusGroups,StudyMethod-FieldStudy,StudyMethod-WorkshopDesign,StudyMethod-Other,ParticipantGroup-OlderAdult,ParticipantGroup-PeopleWithDisability,ParticipantGroup-PeopleWithoutDisability,ParticipantGroup-TherapistsSpecialists,ParticipantGroup-Caregivers,ParticipantGroup-Other,ParticipantGroup-Other-Notes,ParticipantGroup-Other-Crowdworker,ParticipantGroup-NoUserStudy,StudyLocation-NearAtLab,StudyLocation-ParticipantsHomeOrFreqLoc,StudyLocation-NeutralLocation,StudyLocation-Unclear,StudyLocation-OnlineRemotely,StudyLocation-Other,StudyLocation-NoUserStudy,ParticipatoryDesign-Yes,ParticipatoryDesign-No,ComparesOnDisability-Yes,ComparesOnDisability-No,UsesProxies-Yes,UsesProxies-No,Total num Participants,NumParticipants-Group1-Count,NumParticipants-Group1-Population,NumParticipants-Group2-Count,NumParticipants-Group2-Population,NumParticipants-Group3-Count,NumParticipants-Group3-Population,NumParticipants-Group4-Count,NumParticipants-Group4-Population,NumParticipants-Group5-Count,NumParticipants-Group5-Population
11,"Thomas Kosch, Romina Kettner, Markus Funk, Albrecht Schmidt","Comparing Tactile, Auditory, and Visual Assembly Error-Feedback for Workers with Cognitive Impairments  ","assistive systems, augmented reality, cognitively impaired workers, error feedback, multimodal interfaces",10.1145/2982142.2982157,ASSETS,2016,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,16,16,Cognitive,0,0,0,0,0,0,0,0
12,"Erin Buehler, William Easley, Samantha McDonald, Niara Comrie, Amy Hurst",Inclusion and Education 3D Printing for Integrated Classrooms,"3d modeling, 3d printing, cognitive impairment, disability, education, intellectual disability, special education",10.1145/2700648.2809844,ASSETS,2015,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,20,7,Teachers,7,IDD,6,NonDisabled,0,0,0,0
13,"Walter Lasecki, Jeffrey Bigham",Online quality control for real-time crowd captioning  ,"captioning, deaf, hard of hearing, human computation",10.1145/2384916.2384942,ASSETS,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,42,42,Crowdworkers,0,0,0,0,0,0,0,0
14,"Rolf Black, Annalu Waller, Nava Tintarev, Ehud Reiter, Joseph Reddington",A mobile phone based personal narrative system  ,"accessibility, assistive technology, augmentative and alternative communication (aac), cerebral palsy, disability, language development, personal narrative",10.1145/2049536.2049568,ASSETS,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2,2,Motor/Physical,unclear,Teachers,unclear,Caregivers,unclear,Therapists,0,0
15,Leona Holloway and Kim Marriott and Matthew Butler,Accessible Maps for the Blind Comparing 3D Printed Models with Tactile Graphics,"3d printing, accessibility, blindness, mapping, orientation and mobility training, vision impairment",10.1145/3173574.3173772,CHI,2018,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,16,16,BVI,0,0,0,0,0,0,0,0
16,Brooke E. Auxier and Cody L. Buntain and Paul Jaeger and Jennifer Golbeck and Hernisa Kacorri,#HandsOffMyADA A Twitter Response to the ADA Education and Reform Act,"accessibility, activism, disability rights, social media",10.1145/3290605.3300757,CHI,2019,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
17,Adam J. Sporka and Torsten Felzer and Sri H. Kurniawan and Ondřej Poláček and Paul Haiduk and I. Scott MacKenzie,CHANTI predictive text entry using non-verbal vocal input,"ambiguous keyboard, assistive technology, human-computer interaction, non-verbal voice input, predictive text entry, scanning, user study",10.1145/1978942.1979302,CHI,2011,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,8,8,Motor/Physical,0,0,0,0,0,0,0,0
18,Koji Yatani and Nikola Banovic and Khai Truong,SpaceSense representing geographical information to visually impaired people using spatial tactile feedback,"assistive technology, geographical information representation, handheld devices, touch screens, users with visual impairments, vibrotactile feedback",10.1145/2207676.2207734,CHI,2012,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,12,12,BVI,0,0,0,0,0,0,0,0
19,"Michele Williams, Caroline Galbraith, Shaun Kane, Amy Hurst","""just let the cane hit it"" how the blind and sighted see navigation differently","blind navigation, empathy, white cane",10.1145/2661334.2661380,ASSETS,2014,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,33,26,BVI,7,Caregivers,0,0,0,0,0,0
20,Antonio Diaz-Tula and Carlos H. Morimoto,AugKey Increasing Foveal Throughput in Eye Typing with Augmented Keys,"augmented feedback, eye typing, text-entry speed, user experience, word prediction",10.1145/2858036.2858517,CHI,2016,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,8,7,NonDisabled,1,Motor/Physical,0,0,0,0,0,0
21,"Hernisa Kacorri, Matt Huenerfauth, Sarah Ebling, Kasmira Patel, Mackenzie Willard",Demographic and Experiential Factors Influencing Acceptance of Sign Language Animation by Deaf Users  ,"American sign language, accessibility technology for people who are deaf, animation, user study",10.1145/2700648.2809860,ASSETS,2015,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,62,62,DHH,0,0,0,0,0,0,0,0
22,Mayank Goel and Chen Zhao and Ruth Vinisha and Shwetak N. Patel,Tongue-in-Cheek Using Wireless Signals to Enable Non-Intrusive and Flexible Facial Gestures Detection,"accessibility, tongue gestures, tongue-computer interface, wireless signals",10.1145/2702123.2702591,CHI,2015,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,11,3,Motor/Physical,8,NonDisabled,0,0,0,0,0,0
23,"Kathryn Ringland, Christine Wolf, LouAnne Boyd, Mark Baldwin, Gillian Hayes",Would You Be Mine Appropriating Minecraft as an Assistive Technology for Youth with Autism,"appropriation, assistive technology, autism, disability., diy, minecraft, modding, virtual worlds",10.1145/2982142.2982172,ASSETS,2016,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,unclear,Autism,unclear,NonDisabled,unclear,Caregivers,unclear,Other,0,0
24,"Wei Zhu, Boyd Anderson, Shenggao Zhu, Ye Wang",A Computer Vision-Based System for Stride Length Estimation using a Mobile Phone Camera  ,"computer vision, gait analysis, mobile camera, movement disorder, parkinson's disease, video analysis",10.1145/2982142.2982156,ASSETS,2016,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,55,44,Motor/Physical,11,Older Adult NonDisabled,0,0,0,0,0,0
25,Yi-Hao Peng and Ming-Wei Hsi and Paul Taele and Ting-Yu Lin and Po-En Lai and Leon Hsu and Tzu-chuan Chen and Te-Yen Wu and Yu-An Chen and Hsien-Hui Tang and Mike Y. Chen,SpeechBubbles Enhancing Captioning Experiences for Deaf and Hard-of-Hearing People in Group Conversations,"accessibility, augmented reality, closed captions, deaf and hard of hearing, hololens, text bubbles, word balloons",10.1145/3173574.3173867,CHI,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,20,20,DHH,0,0,0,0,0,0,0,0
26,Liam Mason and Kathrin Gerling and Patrick Dickinson and Antonella De Angeli,Design Goals for Playful Technology to Support Physical Activity Among Wheelchair Users  ,"accessibility, games, integrated behavioral model, wheelchair",10.1145/3290605.3300262,CHI,2019,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,52,52,Motor/Physical,0,0,0,0,0,0,0,0
27,Matthew Jamieson and Brian O'Neill and Breda Cullen and Marilyn Lennon and Stephen Brewster and Jonathan Evans,ForgetMeNot Active Reminder Entry Support for Adults with Acquired Brain Injury,"acquired brain injury, assistive technology, field study, in situ study, memory rehabilitation, smartphone reminding",10.1145/3025453.3025888,CHI,2017,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,3,3,Cognitive,0,0,0,0,0,0,0,0
28,Meethu Malu and Pramod Chundury and Leah Findlater,Exploring Accessible Smartwatch Interactions for People with Upper Body Motor Impairments  ,"accessibility, elicitation study, interactions, motor impairments, smartwatches, wearables",10.1145/3173574.3174062,CHI,2018,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,21,21,Motor/Physical,0,0,0,0,0,0,0,0
29,"Michael Crabb, Vicki Hanson","Age, technology usage, and cognitive characteristics in relation to perceived disorientation and reported website ease of use  ","cognitive psychology, hci, older adults, search strategies, web search",10.1145/2661334.2661356,ASSETS,2014,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,20,12,Older Adult NonDisabled,8,NonDisabled,0,0,0,0,0,0
30,"Hernisa Kacorri, Allen Harper, Matt Huenerfauth",Comparing native signers' perception of American Sign Language animations and videos via eye tracking  ,"accessibility technology for people who are deaf, american sign language, animation, eye tracking, user study",10.1145/2513383.2513441,ASSETS,2013,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,11,11,Other-Signers,0,0,0,0,0,0,0,0
31,"Kyle Rector, Cynthia Bennett, Julie Kientz",Eyes-free yoga an exergame using depth cameras for blind & low vision exercise,"accessibility, audio feedback, exergames, eyes-free, health, kinect, video games, visual impairments, yoga",10.1145/2513383.2513392,ASSETS,2013,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,20,16,BVI,4,Specialists,0,0,0,0,0,0
32,Seunghyun Tina Lee and Yilin Elaine Liu and Ljilja Ruzic and Jon Sanford,Universal Design Ballot Interfaces on Voting Performance and Satisfaction of Voters with and without Vision Loss  ,"effectiveness, efficiency, subjective usability, universal design, voting",10.1145/2858036.2858567,CHI,2016,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,32,21,BVI,11,NonDisabled,0,0,0,0,0,0
33,"Amanda Stent, Ann Syrdal, Taniya Mishra",On the intelligibility of fast synthesized speech for individuals with early-onset blindness  ,text-to-speech,10.1145/2049536.2049574,ASSETS,2011,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,36,36,BVI,0,0,0,0,0,0,0,0
34,"Muhammad Islam, Faisal Ahmed, Yevgen Borodin, I.V. Ramakrishnan",Thematic organization of web content for distraction-free text-to-speech narration  ,"blind users, clustering, screen readers, segmentation, singular value decomposition",10.1145/2384916.2384920,ASSETS,2012,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,23,23,BVI,0,0,0,0,0,0,0,0
35,"David Flatla, Carl Gutwin","""So that's what you see"" building understanding with personalized simulations of colour vision deficiency","colour vision deficiency, colour vision simulation",10.1145/2384916.2384946,ASSETS,2012,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,10,5,Other-CVD,5,NonDisabled,0,0,0,0,0,0
36,"Sonya Nikolova, Marilyn Tremaine, Perry Cook",Click on bake to get cookies guiding word-finding with semantic associations,"adaptive user interfaces, aphasia, assistive communication, semantic networks, visual vocabularies",10.1145/1878803.1878832,ASSETS,2010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,18,2,Specialists,16,Cognitive,0,0,0,0,0,0
37,"Dragan Ahmetovic, Uran Oh, Sergio Mascetti, Chieko Asakawa",Turn Right Analysis of Rotation Errors in Turn-by-Turn Navigation for Individuals with Visual Impairments,"navigation assistive technologies, orientation and mobility, visual impairments and blindness",10.1145/3234695.3236363,ASSETS,2018,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,11,11,BVI,0,0,0,0,0,0,0,0
38,Haley MacLeod and Cynthia L. Bennett and Meredith Ringel Morris and Edward Cutrell,Understanding Blind People's Experiences with Computer-Generated Captions of Social Media Images  ,"accessibility, alt text, automatic image captioning, blindness, social media, twitter",10.1145/3025453.3025814,CHI,2017,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,106,6,BVI,100,BVI,0,0,0,0,0,0
39,Vinoba Vinayagamoorthy and Maxine Glancy and Christoph Ziegler and Richard Schäffer,Personalising the TV Experience using Augmented Reality An Exploratory Study on Delivering Synchronised Sign Language Interpretation,"accessibility, augmented reality, bsl, companion screen, connected experiences, dgs, hbbtv 2.0, hololens, interaction techniques, personalisation, second screen, sign language, sse, synchronisation, television",10.1145/3290605.3300762,CHI,2019,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,sign language users,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,23,23,Other-Signers,0,0,0,0,0,0,0,0
40,"Jian Xu, Syed Masum Billah, Roy Shilkrot, Aruna Balasubramanian",DarkReader: Bridging the Gap Between Perception and Reality of Power Consumption in Smartphones for Blind Users  ,"android, battery, blind, brightness, curtain mode, ios, low-power, privacy, screen, screen readers, shoulder-surfing, talkback, vision impairment",10.1145/3308561.3353806,ASSETS,2019,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,10,10,BVI,0,0,0,0,0,0,0,0
41,"Stacy Branham, Shaun Kane",The Invisible Work of Accessibility How Blind Employees Manage Accessibility in Mixed-Ability Workplaces,"assistive technology, blindness, collaborative accessibility, vision impairment, workplace",10.1145/2700648.2809864,ASSETS,2015,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,11,5,BVI,6,NonDisabled,0,0,0,0,0,0
42,Xiaoyi Zhang and Anne Spencer Ross and Anat Caspi and James Fogarty and Jacob O. Wobbrock,Interaction Proxies for Runtime Repair and Enhancement of Mobile Application Accessibility  ,"accessibility, interaction proxies, runtime modification",10.1145/3025453.3025846,CHI,2017,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,14,14,BVI,0,0,0,0,0,0,0,0
43,Shathel Haddad and Joanna McGrenere and Claudia Jacova,Interface design for older adults with varying cultural attitudes toward uncertainty  ,"computerized cognitive assessment, cultural design, experiment, older adults, uncertainty avoidance",10.1145/2556288.2557124,CHI,2014,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,42,36,Older Adult NonDisabled,6,NonDisabled,0,0,0,0,0,0
44,"Abigale Stangl, Ann Cunningham, Lou Ann Blake, Tom Yeh",Defining Problems of Practices to Advance Inclusive Tactile Media Consumption and Production  ,"accessible art, blind, consumption, inclusion, low vision, problems of practice, production, social learning, tactile art, tactile graphics, tactile literacy., tactile media, visually impaired",10.1145/3308561.3353778,ASSETS,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,67,31,BVI,33,NonDisabled,3,Specialists,0,0,0,0
45,"Dragan Ahmetovic, Roberto Manduchi, James Coughlan, Sergio Mascetti",Zebra Crossing Spotter Automatic Population of Spatial Databases for Increased Safety of Blind Travelers,"autonomous navigation, crowdsourcing, orientation and mobility, satellite and street-level imagery, visual impairments and blindness",10.1145/2700648.2809847,ASSETS,2015,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
